President,Year,Party
Nixon,1970,Republican
Nixon,1971,Republican
Nixon,1972,Republican
Nixon,1973,Republican
Nixon,1974,Republican
Ford,1975,Republican
Ford,1976,Republican
Ford,1977,Republican
Carter,1978,Democrat
Carter,1979,Democrat
Carter,1980,Democrat
Reagan,1981,Republican
Reagan,1982,Republican
Reagan,1983,Republican
Reagan,1984,Republican
Reagan,1985,Republican
Reagan,1986,Republican
Reagan,1987,Republican
Reagan,1988,Republican
H Bush,1989,Republican
H Bush,1990,Republican
H Bush,1991,Republican
H Bush,1992,Republican
Clinton,1993,Democrat
Clinton,1994,Democrat
Clinton,1995,Democrat
Clinton,1996,Democrat
Clinton,1997,Democrat
Clinton,1998,Democrat
Clinton,1999,Democrat
W Bush,2000,Republican
W Bush,2001,Republican
W Bush,2002,Republican
W Bush,2003,Republican
W Bush,2004,Republican
W Bush,2005,Republican
W Bush,2006,Republican
W Bush,2007,Republican
W Bush,2008,Republican
Obama,2009,Democrat
Obama,2010,Democrat
Obama,2011,Democrat
Obama,2012,Democrat
Obama,2013,Democrat
Obama,2014,Democrat
Obama,2015,Democrat
Obama,2016,Democrat
Trump,2017,Republican
Trump,2018,Republican
Trump,2019,Republican